name,x,y
LOCKb2014b_000185,859.124,215.773
LOCKb2014b_000185,336.263,319.94
LOCKb2014b_000186,499.662,205.5415
LOCKb2014b_000192,56.9325,275.8085
LOCKb2014b_000192,546.221,185.845
LOCKb2014b_000193,51.58,276.5265
LOCKb2014b_000194,553.845,185.441
LOCKb2014b_000197,783.5895,172.2495
LOCKb2014b_000197,853.83,216.9365
LOCKb2014b_000197,989.429,220.3885
LOCKb2014b_000197,493.3425,208.336
LOCKb2014b_000199,997.4115,219.4085
LOCKb2014b_000199,490.442,203.703
LOCKb2014b_000199,501.6965,206.118
LOCKb2014b_000199,727.1475,613.8045
LOCKb2014b_000199,984.978,219.593
LOCKb2014b_000205,200.0295,611.0545
LOCKb2014b_000205,179.626,613.636
LOCKb2014b_000210,60.245,273.174
LOCKb2014b_000211,539.0525,184.3295
LOCKb2014b_000212,558.369,186.048
LOCKb2014b_000212,988.754,222.388
LOCKb2014b_000212,969.495,218.102
LOCKb2014b_000212,541.5005,182.8185
LOCKb2014b_000212,183.334,607.613
LOCKb2014b_000213,498.5085,205.7325
LOCKb2014b_000213,331.711,393.888
LOCKb2014b_000213,560.932,185.7445
LOCKb2014b_000214,546.504,184.615
LOCKb2014b_000214,557.606,181.973
LOCKb2014b_000214,177.914,605.236
LOCKb2014b_000214,478.753,210.009
LOCKb2014b_000214,65.214,275.53
LOCKb2014b_000214,40.4895,276.5885
LOCKb2014b_000214,494.5865,206.0215
LOCKb2014b_000214,196.574,606.3985
LOCKb2014b_000215,475.5865,208.312
LOCKb2014b_000215,560.933,185.824
LOCKb2014b_000215,494.0785,206.2485
LOCKb2014b_000215,974.989,218.629
LOCKb2014b_000215,544.615,186.2275
LOCKb2014b_000215,989.1385,220.4055
LOCKb2014b_000217,982.291,218.4065
LOCKb2014b_000217,497.969,207.9735
LOCKb2014b_000217,560.556,185.573
LOCKb2014b_000217,335.5525,326.587
LOCKb2014b_000220,192.461,600.538
LOCKb2014b_000222,60.5435,273.528
LOCKb2014b_000223,193.5145,597.0515
LOCKb2014b_000223,341.244,322.006
LOCKb2014b_000223,851.814,214.553
LOCKb2014b_000223,172.244,605.824
LOCKb2014b_000224,541.47,188.39
LOCKb2014b_000224,856.37,214.8815
LOCKb2014b_000224,730.0735,607.287
LOCKb2014b_000224,179.302,604.2755
LOCKb2014b_000224,556.1505,185.228
LOCKb2014b_000224,203.612,594.889
LOCKb2014b_000226,352.455,321.688
LOCKb2014b_000226,198.669,597.0715
LOCKb2014b_000226,465.5045,580.3515
LOCKb2014b_000226,175.9575,604.104
LOCKb2014b_000226,547.442,182.284
LOCKb2014b_000227,205.3455,596.423
LOCKb2014b_000227,556.655,184.472
LOCKb2014b_000227,51.0785,273.5015
LOCKb2014b_000227,180.233,599.308
LOCKb2014b_000228,174.817,613.174
